1992 06    117.730      0.970 GAGE 
1992 07    118.660      0.730 GAGE 
1992 09    119.370      0.680 GAGE 
1992 10    118.120      0.620 GAGE 
1992 11    119.320      1.170 GAGE 
1992 12    120.780      2.340 GAGE 
1993 01    120.300      2.150 GAGE 
1993 02    119.980      3.300 GAGE 
1993 03    120.520      2.150 GAGE 
1993 04    119.360      2.330 GAGE 
1993 05    117.350      0.860 GAGE 
1993 06    117.980      0.720 GAGE 
1993 07    117.760      0.630 GAGE 
1993 08    118.140      0.830 GAGE 
1993 09    116.430      0.920 GAGE 
1993 10    114.880      1.360 GAGE 
1993 11    112.800      0.940 GAGE 
1993 12    113.610      1.230 GAGE 
1994 01    113.160      1.960 GAGE 
1994 02    113.120      1.330 GAGE 
1994 03    111.680      1.430 GAGE 
1994 04    110.020      1.000 GAGE 
1994 05    109.540      1.270 GAGE 
1994 06    109.090      0.830 GAGE 
1994 07    108.060      0.660 GAGE 
1994 08    107.520      0.610 GAGE 
1994 09    106.740      0.690 GAGE 
1994 10    105.370      0.810 GAGE 
1994 11    104.260      0.870 GAGE 
1994 12    103.500      0.910 GAGE 
1995 01    102.520      1.160 GAGE 
1995 02    102.400      1.420 GAGE 
1995 03    101.040      1.060 GAGE 
1995 04    100.390      0.970 GAGE 
1995 05     99.700      0.820 GAGE 
1995 06     99.090      0.580 GAGE 
1995 07     98.550      0.570 GAGE 
1995 08     97.970      0.690 GAGE 
1995 09     97.150      0.760 GAGE 
1995 10     95.700      0.830 GAGE 
1995 11     94.220      0.840 GAGE 
1995 12     92.750      0.590 GAGE 
1996 01     92.760      0.640 GAGE 
1996 02     91.760      1.020 GAGE 
1996 03     91.080      0.890 GAGE 
1996 04     88.990      1.530 GAGE 
1996 05     88.470      0.700 GAGE 
1996 06     87.370      0.810 GAGE 
1996 07     86.850      0.620 GAGE 
1996 08     86.080      0.750 GAGE 
1996 09     85.140      0.530 GAGE 
1996 08     84.690      0.470 GAGE 
1996 09     84.070      0.560 GAGE 
1996 10     82.400      0.600 GAGE 
1996 11     80.610      0.450 GAGE 
1996 12     79.710      0.630 GAGE 
1997 01     78.920      0.710 GAGE 
1997 02     77.530      0.560 GAGE 
1997 03     77.130      0.920 GAGE 
1997 04     75.600      0.420 GAGE 
1997 05     75.020      0.360 GAGE 
1997 06     75.250      0.360 GAGE 
1997 07     74.330      0.390 GAGE 
1997 08     73.800      0.410 GAGE 
1997 09     72.500      0.530 GAGE 
1997 10     71.170      0.650 GAGE 
1997 11     70.080      0.470 GAGE 
1997 12     68.620      0.500 GAGE 
1998 01     67.550      0.890 GAGE 
1998 02     66.020      0.460 GAGE 
1998 03     65.260      0.530 GAGE 
1998 04     64.710      0.340 GAGE 
1998 05     64.180      0.360 GAGE 
1998 06     63.600      0.430 GAGE 
1998 07     63.160      0.480 GAGE 
1998 08     62.220      0.450 GAGE 
1998 09     61.070      0.490 GAGE 
1998 10     60.050      0.700 GAGE 
1998 11     58.440      0.520 GAGE 
1998 12     57.740      0.600 GAGE 
1999 01     56.850      0.400 GAGE 
1999 02     56.150      0.300 GAGE 
1999 03     54.850      0.340 GAGE 
1999 04     54.210      0.320 GAGE 
1999 05     53.760      0.350 GAGE 
1999 06     53.060      0.320 GAGE 
1999 07     52.450      0.330 GAGE 
1999 08     51.720      0.360 GAGE 
1999 09     51.240      0.500 GAGE 
1999 10     50.170      0.510 GAGE 
1999 11     49.060      0.360 GAGE 
1999 12     47.970      0.340 GAGE 
2000 01     47.300      0.340 GAGE 
2000 02     46.560      0.340 GAGE 
2000 03     45.980      0.410 GAGE 
2000 04     45.320      0.340 GAGE 
2000 05     45.060      0.320 GAGE 
2000 06     44.420      0.310 GAGE 
2000 07     43.860      0.350 GAGE 
2000 08     43.210      0.400 GAGE 
2000 09     42.510      0.530 GAGE 
2000 10     41.460      0.590 GAGE 
2000 11     41.150      0.420 GAGE 
2000 12     40.380      0.320 GAGE 
2001 01     39.770      0.330 GAGE 
2001 02     39.140      0.350 GAGE 
