1978 07     81.400      4.680 ALE 
1978 08     81.210      4.860 ALE 
1978 09     77.560      6.260 ALE 
1978 10     77.240      6.630 ALE 
1978 11     76.250      6.070 ALE 
1978 12     81.230      5.550 ALE 
1979 01     82.420      6.540 ALE 
1979 02     82.050      5.830 ALE 
1979 03     82.210      5.410 ALE 
1979 05     83.240      2.710 ALE 
1979 06     81.650      3.800 ALE 
1979 07     85.100      5.620 ALE 
1979 08     86.500      3.430 ALE 
1979 09     80.850      6.050 ALE 
1979 10     81.050      4.970 ALE 
1979 11     83.970      4.840 ALE 
1979 12     85.790      3.020 ALE 
1980 01     87.980      3.910 ALE 
1980 02     88.630      4.220 ALE 
1980 03     93.000      3.810 ALE 
1980 04     91.250      3.590 ALE 
1980 05     90.700      3.090 ALE 
1980 06     93.010      2.800 ALE 
1980 07     92.310      3.530 ALE 
1980 08     90.890      2.790 ALE 
1980 09     89.520      5.400 ALE 
1980 10     89.790      5.170 ALE 
1980 11     93.630      3.780 ALE 
1980 12     94.350      4.850 ALE 
1981 01     93.810      3.580 ALE 
1981 02     95.420      3.420 ALE 
1981 03     91.930      3.050 ALE 
1981 04     96.170      4.200 ALE 
1981 05     97.320      2.920 ALE 
1981 06     96.040      2.730 ALE 
1981 07     98.660      3.150 ALE 
1981 08     96.710      5.050 ALE 
1981 09     95.270      4.950 ALE 
1981 10     95.270      4.400 ALE 
1981 11     94.480      4.310 ALE 
1981 12     95.700      4.110 ALE 
1982 01     99.150      3.000 ALE 
1982 02     99.130      2.780 ALE 
1982 03     98.720      2.960 ALE 
1982 04    102.900      2.660 ALE 
1982 05    101.150      3.080 ALE 
1982 06    101.380      2.440 ALE 
1982 07    103.070      2.680 ALE 
1982 08    102.460      3.130 ALE 
1982 09     99.470      4.000 ALE 
1982 10     99.480      5.500 ALE 
1982 11    100.910      3.720 ALE 
1982 12    106.250      2.960 ALE 
1983 01    105.080      2.970 ALE 
1983 02    103.830      2.950 ALE 
1983 03    102.460      2.460 ALE 
1983 04    106.660      2.570 ALE 
1983 05    105.400      1.820 ALE 
1983 06    105.150      3.170 ALE 
1983 07    106.740      4.360 ALE 
1983 08    107.470      4.090 ALE 
1983 09    104.760      4.310 ALE 
1983 10    103.340      4.790 ALE 
1983 11    102.790      4.340 ALE 
1983 12    107.700      3.180 ALE 
1984 01    108.360      2.060 ALE 
1984 02    107.380      2.080 ALE 
1984 03    109.850      2.110 ALE 
1984 04    108.010      2.270 ALE 
1984 05    111.630      2.730 ALE 
1984 06    112.300      3.090 ALE 
1984 07    113.050      3.110 ALE 
1984 08    114.070      3.140 ALE 
1984 09    110.840      3.960 ALE 
1984 10    109.610      3.080 ALE 
1984 11    108.550      6.010 ALE 
1984 12    114.960      3.560 ALE 
1985 01    114.560      3.170 ALE 
1985 02    115.250      4.450 ALE 
