1988 02    100.160      0.290 GAGE 
1988 03    100.330      0.450 GAGE 
1988 04    100.920      0.430 GAGE 
1988 05    103.790      0.840 GAGE 
1988 06    104.570      0.610 GAGE 
1988 07    105.370      0.650 GAGE 
1988 08    106.100      0.510 GAGE 
1988 09    106.460      0.500 GAGE 
1988 10    106.650      0.400 GAGE 
1988 11    106.520      0.380 GAGE 
1988 12    105.790      0.480 GAGE 
1989 01    105.180      0.390 GAGE 
1989 02    105.270      0.370 GAGE 
1989 03    105.940      0.540 GAGE 
1989 04    106.880      0.540 GAGE 
1989 05    107.900      0.590 GAGE 
1989 06    108.510      0.650 GAGE 
1989 07    108.890      0.670 GAGE 
1989 08    109.510      0.440 GAGE 
1989 09    109.990      0.460 GAGE 
1989 10    109.940      0.440 GAGE 
1989 11    109.390      0.380 GAGE 
1989 12    109.110      0.420 GAGE 
1990 01    108.530      0.390 GAGE 
1990 02    108.640      0.470 GAGE 
1990 03    108.510      0.600 GAGE 
1990 04    109.320      0.770 GAGE 
1990 06    111.290      0.730 GAGE 
1990 07    111.860      0.570 GAGE 
1990 08    112.710      0.410 GAGE 
1990 09    113.270      0.450 GAGE 
1990 10    113.370      0.370 GAGE 
1990 11    113.010      0.310 GAGE 
1990 12    112.080      0.380 GAGE 
1991 01    111.060      0.410 GAGE 
1991 02    110.490      0.260 GAGE 
1991 03    110.810      0.450 GAGE 
1991 04    111.860      0.630 GAGE 
1991 05    112.930      0.790 GAGE 
1991 06    114.310      0.600 GAGE 
1991 07    114.700      0.540 GAGE 
1991 08    115.350      0.490 GAGE 
1991 09    116.120      0.510 GAGE 
1991 10    116.830      0.560 GAGE 
1991 11    116.590      0.500 GAGE 
1991 12    115.960      0.510 GAGE 
1992 01    115.020      0.390 GAGE 
1992 02    114.800      0.390 GAGE 
1992 03    114.650      0.460 GAGE 
1992 04    115.010      0.540 GAGE 
1992 05    118.840      1.080 GAGE 
1992 06    119.640      1.390 GAGE 
1992 07    119.580      1.260 GAGE 
1992 08    118.840      0.950 GAGE 
1992 09    119.210      0.970 GAGE 
1992 10    118.720      0.800 GAGE 
1992 11    117.320      0.670 GAGE 
1992 12    115.650      1.030 GAGE 
1993 01    114.340      0.450 GAGE 
1993 02    113.390      0.480 GAGE 
1993 03    113.380      0.530 GAGE 
1993 04    113.550      0.460 GAGE 
1993 05    113.960      0.560 GAGE 
1993 06    114.120      0.580 GAGE 
1993 07    114.190      0.690 GAGE 
1993 08    114.780      0.830 GAGE 
1993 09    114.660      0.500 GAGE 
1993 10    113.990      0.370 GAGE 
1993 11    113.350      0.500 GAGE 
1993 12    111.770      0.650 GAGE 
1994 01    110.640      0.690 GAGE 
1994 02    109.490      0.650 GAGE 
1994 03    109.020      0.720 GAGE 
1994 04    108.780      0.540 GAGE 
1994 05    108.770      0.400 GAGE 
1994 06    108.820      0.410 GAGE 
1994 07    108.060      0.540 GAGE 
1994 08    107.510      0.410 GAGE 
1994 09    107.050      0.450 GAGE 
1994 10    106.110      0.510 GAGE 
1994 11    105.200      0.710 GAGE 
1994 12    103.650      0.650 GAGE 
1993 08    114.870      1.660 GAGE 
1993 09    114.510      1.430 GAGE 
1993 10    114.630      1.610 GAGE 
1993 11    114.130      1.760 GAGE 
1993 12    113.390      1.570 GAGE 
1994 01    112.260      1.730 GAGE 
1994 02    111.000      1.480 GAGE 
1994 03    109.220      1.150 GAGE 
1994 04    108.620      0.600 GAGE 
1994 05    108.560      0.720 GAGE 
1994 06    108.470      0.490 GAGE 
1994 07    107.770      0.520 GAGE 
1994 08    107.440      0.440 GAGE 
1994 09    106.950      0.450 GAGE 
1994 10    106.030      0.540 GAGE 
1994 11    104.980      0.630 GAGE 
1994 12    103.410      0.750 GAGE 
1995 01    101.810      0.790 GAGE 
1995 02    100.610      0.590 GAGE 
1995 03     99.570      0.430 GAGE 
1995 04     99.490      0.420 GAGE 
1995 05     99.210      0.380 GAGE 
1995 06     98.920      0.410 GAGE 
1995 07     98.660      0.390 GAGE 
1995 08     98.080      0.410 GAGE 
1995 09     97.420      0.430 GAGE 
1995 10     96.370      0.510 GAGE 
1995 11     95.000      0.540 GAGE 
1995 12     93.290      0.870 GAGE 
1996 01     91.510      0.630 GAGE 
1996 02     90.400      0.600 GAGE 
1996 03     89.040      0.620 GAGE 
1996 04     88.610      0.700 GAGE 
1996 05     88.010      1.080 GAGE 
1996 06     87.760      0.720 GAGE 
1996 07     87.120      0.490 GAGE 
1996 08     86.150      0.390 GAGE 
1996 09     85.490      0.390 GAGE 
1996 10     84.400      0.530 GAGE 
1996 11     83.070      0.490 GAGE 
1996 12     81.900      0.550 GAGE 
1997 01     80.160      0.710 GAGE 
1997 02     78.420      0.610 GAGE 
1997 03     77.650      0.610 GAGE 
1997 04     76.660      0.500 GAGE 
1997 05     76.000      0.390 GAGE 
1997 06     75.380      0.420 GAGE 
1997 07     74.860      0.400 GAGE 
1997 08     74.270      0.400 GAGE 
1997 09     73.530      0.410 GAGE 
1997 10     72.470      0.700 GAGE 
1997 11     71.310      0.590 GAGE 
1997 12     70.110      0.530 GAGE 
1998 01     68.700      0.610 GAGE 
1998 02     67.610      0.550 GAGE 
1998 03     65.910      0.460 GAGE 
1998 04     65.360      0.400 GAGE 
1998 05     64.750      0.410 GAGE 
1998 06     64.230      0.440 GAGE 
1998 07     63.680      0.420 GAGE 
1998 08     63.100      0.350 GAGE 
1998 09     62.290      0.500 GAGE 
1998 10     61.520      0.480 GAGE 
1998 11     60.450      0.520 GAGE 
1998 12     59.120      0.650 GAGE 
1999 01     57.920      0.510 GAGE 
1999 02     56.640      0.620 GAGE 
1999 03     55.910      0.480 GAGE 
1999 04     55.090      0.380 GAGE 
1999 05     54.440      0.400 GAGE 
1999 06     54.050      0.330 GAGE 
1999 07     53.460      0.360 GAGE 
1999 08     52.760      0.420 GAGE 
1999 09     52.220      0.420 GAGE 
1999 10     51.620      0.370 GAGE 
1999 11     50.980      0.510 GAGE 
1999 12     49.880      0.520 GAGE 
2000 01     48.680      0.520 GAGE 
2000 02     47.660      0.490 GAGE 
2000 03     47.150      0.400 GAGE 
2000 04     46.350      0.410 GAGE 
2000 05     45.760      0.360 GAGE 
2000 06     45.330      0.290 GAGE 
2000 07     45.070      0.340 GAGE 
2000 08     44.630      0.380 GAGE 
